         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
1.41254e+03 2.57659e+04 4.80858e-01 2.38180e-08 1.55566e-05 7.10743e-01 5.05155e-01 4.63920e-06 3.20332e-01 5.47673e-18 6.08568e-27 6.08568e-27 
1.58489e+03 2.80836e+04 4.83765e-01 1.65507e-08 1.53906e-05 7.02265e-01 4.93177e-01 4.34030e-06 3.05956e-01 5.29080e-18 6.14214e-27 6.14213e-27 
1.77828e+03 3.06354e+04 4.86246e-01 1.15342e-08 1.51993e-05 6.93597e-01 4.81076e-01 4.05933e-06 2.91576e-01 5.11118e-18 6.18483e-27 6.18482e-27 
1.99526e+03 3.34546e+04 4.88362e-01 8.06071e-09 1.49769e-05 6.84736e-01 4.68863e-01 3.79470e-06 2.77162e-01 4.93766e-18 6.21375e-27 6.21373e-27 
2.23872e+03 3.65723e+04 4.90166e-01 5.64813e-09 1.47171e-05 6.75683e-01 4.56548e-01 3.54511e-06 2.62689e-01 4.77003e-18 6.22893e-27 6.22892e-27 
2.51189e+03 4.00254e+04 4.91701e-01 3.96738e-09 1.44131e-05 6.66438e-01 4.44140e-01 3.30945e-06 2.48134e-01 4.60809e-18 6.23056e-27 6.23056e-27 
2.81838e+03 4.38567e+04 4.93007e-01 2.79310e-09 1.40575e-05 6.57002e-01 4.31651e-01 3.08678e-06 2.33482e-01 4.45165e-18 6.21888e-27 6.21888e-27 
3.16228e+03 4.81150e+04 4.94116e-01 1.97043e-09 1.36428e-05 6.47374e-01 4.19093e-01 2.87630e-06 2.18731e-01 4.30052e-18 6.19421e-27 6.19421e-27 
3.54813e+03 5.28564e+04 4.95057e-01 1.39264e-09 1.31618e-05 6.37557e-01 4.06479e-01 2.67731e-06 2.03891e-01 4.15452e-18 6.15692e-27 6.15691e-27 
3.98107e+03 5.81457e+04 4.95854e-01 9.85889e-10 1.26083e-05 6.27551e-01 3.93821e-01 2.48920e-06 1.88998e-01 4.01348e-18 6.10742e-27 6.10742e-27 
4.46684e+03 6.40569e+04 4.96528e-01 6.98948e-10 1.19777e-05 6.17360e-01 3.81133e-01 2.31143e-06 1.74112e-01 3.87722e-18 6.04618e-27 6.04618e-27 
5.01187e+03 7.06748e+04 4.97098e-01 4.96142e-10 1.12691e-05 6.06984e-01 3.68430e-01 2.14351e-06 1.59330e-01 3.74560e-18 5.97369e-27 5.97369e-27 
5.62341e+03 7.80956e+04 4.97579e-01 3.52561e-10 1.04861e-05 5.96427e-01 3.55726e-01 1.98500e-06 1.44783e-01 3.61844e-18 5.89050e-27 5.89050e-27 
6.30957e+03 8.64264e+04 4.97983e-01 2.50759e-10 9.63833e-06 5.85693e-01 3.43037e-01 1.83549e-06 1.30633e-01 3.49559e-18 5.79719e-27 5.79719e-27 
